_id,name,subjectName,subjectCode,catalogNumber,academicCareer,semester,year,sectionType,sectionCode,classNumber,session,days[0],days[1],days[2],days[3],days[4],days[5],days[6],timeStart,timeEnd,classroom,instructor[0],instructor[1],instructor[2],instructor[3],instructor[4],instructor[5],instructor[6],instructor[7],instructor[8],instructor[9],instructor[10],instructor[11],instructor[12],instructor[13],startDate,endDate,capacity,waitlistCapacity,multipleMeetings,dateTimeRetrieved,days[0][0],days[1][0],days[2][0],days[0][1],days[0][2],days[1][1],days[0][3],days[0][4],days[1][2],days[1][3],days[1][4],days[1][5],days[1][6],days[3][0],days[4][0],days[2][1],days[4][1],days[5][0],days[6][0],days[7][0],days[8][0],days[2][2],days[3][1],days[2][3],days[3][2],days[3][3],days[4][2],days[4][3],timeStart[0],timeStart[1],timeStart[2],timeStart[3],timeStart[4],timeStart[5],timeStart[6],timeStart[7],timeStart[8],timeEnd[0],timeEnd[1],timeEnd[2],timeEnd[3],timeEnd[4],timeEnd[5],timeEnd[6],timeEnd[7],timeEnd[8],classroom[0],classroom[1],classroom[2],classroom[3],classroom[4],classroom[5],classroom[6],classroom[7],classroom[8],instructor[0][0],instructor[1][0],instructor[2][0],instructor[3][0],instructor[0][1],instructor[1][1],instructor[2][1],instructor[3][1],instructor[4][0],instructor[4][1],instructor[5][0],instructor[1][2],instructor[1][3],instructor[0][2],instructor[0][3],instructor[0][4],instructor[1][4],instructor[0][5],instructor[1][5],instructor[2][2],instructor[2][3],instructor[2][4],instructor[2][5],instructor[6][0],instructor[7][0],instructor[5][1],instructor[6][1],instructor[7][1],instructor[8][0],instructor[3][2],instructor[3][3],instructor[3][4],instructor[3][5],instructor[4][2],instructor[4][3],instructor[4][4],instructor[4][5],instructor[5][2],instructor[6][2],instructor[7][2],startDate[0],startDate[1],startDate[2],startDate[3],startDate[4],startDate[5],startDate[6],startDate[7],startDate[8],endDate[0],endDate[1],endDate[2],endDate[3],endDate[4],endDate[5],endDate[6],endDate[7],endDate[8],reservedSeatsAvailable,reservedSeatsCapacity,topic[0],topic[1],topic[2],topic[3],topic[4]
67c083cef212c01be3209013,Principles of Financial Accounting,Accounting Bus Admin,ACC,211,Undergraduate,Spring,2025,Lecture,1U,8429,Regular Academic,Tuesday,,,,,,,1900-01-01T18:35:00.000Z,1900-01-01T21:20:00.000Z,Whitten LC 182,Sundaresh Ramnath,,,,,,,,,,,,,,2025-01-13T00:00:00.000Z,2025-04-28T00:00:00.000Z,46,300,False,2025-04-11T23:18:58.798Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67c083cef212c01be3209014,Principles of Financial Accounting,Accounting Bus Admin,ACC,211,Undergraduate,Spring,2025,Lecture,A,8431,Regular Academic,Monday,Wednesday,Friday,,,,,1900-01-01T08:00:00.000Z,1900-01-01T08:50:00.000Z,Dooly Memorial 312,Seth Levine,,,,,,,,,,,,,,2025-01-13T00:00:00.000Z,2025-04-28T00:00:00.000Z,45,300,False,2025-04-11T23:18:58.804Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67c083cef212c01be3209015,Principles of Financial Accounting,Accounting Bus Admin,ACC,211,Undergraduate,Spring,2025,Lecture,B,8432,Regular Academic,Monday,Wednesday,Friday,,,,,1900-01-01T09:05:00.000Z,1900-01-01T09:55:00.000Z,Dooly Memorial 312,Seth Levine,,,,,,,,,,,,,,2025-01-13T00:00:00.000Z,2025-04-28T00:00:00.000Z,45,300,False,2025-04-11T23:18:58.804Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67c083cef212c01be3209016,Principles of Financial Accounting,Accounting Bus Admin,ACC,211,Undergraduate,Spring,2025,Lecture,C,8433,Regular Academic,Monday,Wednesday,Friday,,,,,1900-01-01T10:10:00.000Z,1900-01-01T11:00:00.000Z,Dooly Memorial 312,Seth Levine,,,,,,,,,,,,,,2025-01-13T00:00:00.000Z,2025-04-28T00:00:00.000Z,45,300,False,2025-04-11T23:18:58.804Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67c083cef212c01be3209017,Principles of Financial Accounting,Accounting Bus Admin,ACC,211,Undergraduate,Spring,2025,Lecture,E,8434,Regular Academic,Monday,Wednesday,Friday,,,,,1900-01-01T12:20:00.000Z,1900-01-01T13:10:00.000Z,Dooly Memorial 313,Seth Levine,,,,,,,,,,,,,,2025-01-13T00:00:00.000Z,2025-04-28T00:00:00.000Z,45,300,False,2025-04-11T23:18:58.804Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67c083cef212c01be3209018,Principles of Financial Accounting,Accounting Bus Admin,ACC,211,Undergraduate,Spring,2025,Lecture,F,8435,Regular Academic,Monday,Wednesday,Friday,,,,,1900-01-01T13:25:00.000Z,1900-01-01T14:15:00.000Z,Dooly Memorial 313,Seth Levine,,,,,,,,,,,,,,2025-01-13T00:00:00.000Z,2025-04-28T00:00:00.000Z,45,300,False,2025-04-11T23:18:58.804Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67c083cef212c01be3209019,Principles of Financial Accounting,Accounting Bus Admin,ACC,211,Undergraduate,Spring,2025,Lecture,G,8436,Regular Academic,Monday,Wednesday,Friday,,,,,1900-01-01T14:30:00.000Z,1900-01-01T15:20:00.000Z,Dooly Memorial 313,Seth Levine,,,,,,,,,,,,,,2025-01-13T00:00:00.000Z,2025-04-28T00:00:00.000Z,45,300,False,2025-04-11T23:18:58.804Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67c083cef212c01be320901a,Principles of Financial Accounting,Accounting Bus Admin,ACC,211,Undergraduate,Spring,2025,Lecture,N,8437,Regular Academic,Tuesday,Thursday,,,,,,1900-01-01T08:00:00.000Z,1900-01-01T09:15:00.000Z,Dooly Memorial 315,Seth Levine,,,,,,,,,,,,,,2025-01-13T00:00:00.000Z,2025-04-28T00:00:00.000Z,45,300,False,2025-04-11T23:18:58.804Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67c083cef212c01be320901b,Managerial Accounting,Accounting Bus Admin,ACC,212,Undergraduate,Spring,2025,Lecture,A1,8402,Regular Academic,Monday,Wednesday,Friday,,,,,1900-01-01T08:00:00.000Z,1900-01-01T08:50:00.000Z,Stubblefield 508,Laetitia Blanchard Marzouka,,,,,,,,,,,,,,2025-01-13T00:00:00.000Z,2025-04-28T00:00:00.000Z,40,300,False,2025-04-11T23:18:59.280Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67c083cef212c01be320901c,Managerial Accounting,Accounting Bus Admin,ACC,212,Undergraduate,Spring,2025,Lecture,A2,8403,Regular Academic,Monday,Wednesday,Friday,,,,,1900-01-01T08:00:00.000Z,1900-01-01T08:50:00.000Z,Stubblefield 408,Manuel Sicre,,,,,,,,,,,,,,2025-01-13T00:00:00.000Z,2025-04-28T00:00:00.000Z,40,300,False,2025-04-11T23:18:59.280Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
